Year,Fedfunds
1983,9.231111111111112
1984,10.404444444444444
1985,7.975555555555555
1986,6.464444444444443
1987,6.803333333333334
1988,7.87
1989,9.14111111111111
1990,8.04888888888889
1991,5.441111111111112
1992,3.3544444444444443
1993,3.0166666666666666
1994,4.5311111111111115
1995,5.8455555555555545
1996,5.276666666666667
1997,5.521111111111111
1998,5.297777777777778
1999,5.0488888888888885
2000,6.422222222222222
2001,3.318888888888889
2002,1.6444444444444446
2003,1.086666666666667
2004,1.4644444444444444
2005,3.461111111111111
2006,5.133333333333334
2007,4.94
2008,1.511111111111111
2009,0.15222222222222223
2010,0.18888888888888888
2011,0.08333333333333333
2012,0.15222222222222223
2013,0.09555555555555556
2014,0.09444444444444444
2015,0.14
2016,0.4066666666666667
2017,1.1022222222222222
2018,1.96
2019,2.0766666666666667
2020,0.0811111111111111
2021,0.07999999999999999
2022,2.2044444444444444
2023,5.1933333333333325
