Year,Fedfunds
1984,9.231111111111112
1985,10.404444444444444
1986,7.975555555555555
1987,6.464444444444443
1988,6.803333333333334
1989,7.87
1990,9.14111111111111
1991,8.04888888888889
1992,5.441111111111112
1993,3.3544444444444443
1994,3.0166666666666666
1995,4.531111111111112
1996,5.8455555555555545
1997,5.276666666666667
1998,5.521111111111111
1999,5.297777777777778
2000,5.0488888888888885
2001,6.422222222222222
2002,3.318888888888889
2003,1.6444444444444446
2004,1.086666666666667
2005,1.4644444444444444
2006,3.461111111111111
2007,5.133333333333334
2008,4.94
2009,1.511111111111111
2010,0.1522222222222222
2011,0.1888888888888888
2012,0.0833333333333333
2013,0.1522222222222222
2014,0.0955555555555555
2015,0.0944444444444444
2016,0.14
2017,0.4066666666666667
2018,1.1022222222222222
2019,1.96
2020,2.0766666666666667
2021,0.0811111111111111
2022,0.0799999999999999
2023,2.2044444444444444
2024,5.1933333333333325
