Year,RGDP
1984,7722.998666666666
1985,8248.778
1986,8582.398333333333
1987,8860.439333333334
1988,9188.204
1989,9570.068333333336
1990,9901.429333333332
1991,10057.709333333332
1992,10075.011333333334
1993,10451.916666666666
1994,10720.146666666667
1995,11173.156333333332
1996,11444.032666666666
1997,11919.992666666669
1998,12455.242
1999,12998.587
2000,13619.833
2001,14168.661666666669
2002,14246.594666666666
2003,14506.020333333334
2004,14965.036333333332
2005,15516.783
2006,16035.701
2007,16459.585000000003
2008,16812.697333333334
2009,16760.978666666666
2010,16366.06
2011,16858.764
2012,17096.336666666666
2013,17468.009000000002
2014,17862.089333333333
2015,18364.29433333333
2016,18843.955666666665
2017,19188.333
2018,19683.355666666663
2019,20243.834666666666
2020,20784.399
2021,20090.247666666663
2022,21546.743
2023,21849.75833333333
2024,22465.099
