Year,Unemployment 
1984,9.344444444444443
1985,7.388888888888889
1986,7.177777777777777
1987,6.988888888888889
1988,6.033333333333334
1989,5.422222222222222
1990,5.277777777777777
1991,5.722222222222222
1992,6.933333333333334
1993,7.533333333333333
1994,6.833333333333333
1995,5.944444444444445
1996,5.633333333333333
1997,5.366666666666667
1998,4.844444444444445
1999,4.455555555555556
2000,4.188888888888889
2001,3.9444444444444446
2002,4.911111111111111
2003,5.811111111111111
2004,6.033333333333334
2005,5.488888888888889
2006,5.011111111111111
2007,4.566666666666666
2008,4.655555555555556
2009,6.066666666666666
2010,9.622222222222222
2011,9.533333333333331
2012,8.899999999999999
2013,8.011111111111111
2014,7.233333333333332
2015,5.988888888888889
2016,5.188888888888889
2017,4.866666666666666
2018,4.288888888888889
2019,3.844444444444445
2020,3.611111111111111
2021,9.511111111111113
2022,5.0555555555555545
2023,3.577777777777778
2024,3.6666666666666665
